(chaussures) bata	ba.ta	ɓa1.ta1
saxophone	sak.so.fɔn	săk5.so1.fon1
scandale	skã.dal	si2.kăŋ1.ɗan1
seau	so	so1
secours	sə.kuʁ	sɤ1.kuə1
segment	seg.mɑ̃	sɛk5.măŋ1
segment	seg.mɑ̃	sɛt5.măŋ1
séminaire	se.mi.nɛʁ	se1.mi1.na1
serveur oder receveur	sɛʁ.vœʁ o.der ʁə.sə.vœʁ	sɤ1.vɤ1
short	ʃɔʁt	sɔk͡p5
si (musique)	si	si1
side-car	si.də.kaʁ	sit5.ɗɤ2.ka1
signal	si.njal	si1.ɲan1
simili	si.mi.li	si1.mi1.li1
sinus	si.nys	sin1
siphon	si.fɔ̃	si1.foŋ͡m1
sirop	si.ʁo	si1.zo1
slip	slip	si1.lip5
sœur	sœʁ	sɤ1
sœur	sœʁ	sɤ2
sofa	so.fa	so1.fa1
sol (musique)	sɔl	sɔn1
sonnet	sɔ.nɛ	sɔn1.ne1
sou	su	su1
soude	sud	sut5
soupape	su.pap	su1.pap5
soupe	sup	sup5
soutien-gorge	su.tjɛ̃.gɔʁʒ	su1. tɕiəŋ1
starter	staʁ.tɛʁ	tăk5.tɛ1
sulfate	syl.fat	sun1.fat5
sulfate	syl.fat	swin1.fat5
sulfur	syl.fyʁ	sun1.fuə1
tableau	ta.blo	tap5.lo1
tablier	tabl.je	tap6.ze2
talc	talk	tan1
talus	ta.ly	ta1.lwi1
tampon	tã.põ	tăm1.ɓoŋ͡m1
tangente	tɑ̃. ʒɑ̃t	taŋ1
tango	tɑ̃.go	tăŋ1.ɣo1
tanin	ta.nɛ̃n	ta1.nin1
tank	tãk	tăŋ1
taraud	ta.ʁo	ta1.zo1
tasse	tas	tɛk5
tatou	ta.tu	ta1.tu1
taxi	tak.si	tăk5.si1
tendeur	tɑ̃.dœʁ	tăŋ1.ɗɤ1
tennis	te.nis	tɛn1.nit5
ticket	ti.kɛ	tik5.ke1
timbre	tɛ̃bʁ	tɛm1
tissu	ti.sy	twit5.si1
titre	titʁ	tit5
tôle	tol	ton1
tondeuse	tɔ̃.døs	toŋ͡m1.ɗɤ1
tonne	tɔn	tɤ̆n5
tonneau	to.no	to1.no1
tonneau	to.no	tɔn1.no1
totem	to.tɛm	to1.tɛm1
tour	tuʁ	tuə1
tournevis	tuʁ.nə.vi	tuə1.vit5
tournevis	tuʁ.nə.vi	tuək5.nɤ1.vit5
tournevis	tuʁ.nə.vi	vit5
tracteur	tʁak.tœʁ	tăk5.tɤ1
transbordeur	tʁɑ̃.sbɔʁ.dœʁ	tăŋ1.ɓɔ1
transformateur	tʁɑ̃.sfɔʁ.ma.tœʁ	tăŋ1.fo1
traverse	tʁa.vɛʁs	ta2.vɛt6
treuil	tʁœj	tɤj2
tricot	tʁi.ko	ti1.ko1
tringle	tʁɛ̃.gl(ə)	tɛŋ1
trompette	tʁõ.pɛt	tɕɔm1.pɛt5
trompette	tʁõ.pɛt	tɕɹɔm1.pɛt5
tube	tyb	tip5
tube	tyb	twip5
tulipe	ty.lip	tu1.lip5
tulipe	ty.lip	twi1.lip5
tulle	tyl	twin1
tunnel	ty.nɛl	twi1.nɛn1
turbine	tyʁ.bin	tuə1.ɓin1
turbine	tyʁ.bin	twiət6.ɓin1
tuyau	tɥi.jo	twi1.ʔo1
tweed 	twid	twit5
type	tip	tip5
urée	y.ʁe	ʔu1.ze1
valise	va.liz	va1.li1
valve	valv	van1
vanille	va.nij	va1.ni1
vanne	van	van1
vecteur	vɛk.tœʁ	vɛk5.tɤ1
veine	vɛn	vɛn1
vernis	vɛʁ.ni	vɛk5.ni1
vernis	vɛʁ.ni	vɛt6.ni1
vert	vɛʁ	vɛ1
veste	vɛst	vɛt5
veston	vɛ.stõ	vɛt5.toŋ͡m1
vin	vɛ̃	vaŋ1
violette	vjo.lɛt	vi1.o1.lɛt5
violon	vjo.lõ	vi1.o1.loŋ͡m1 
violoncelle	vjo.lõ.sɛl	sɛn1.lo1
violoncelle	vjo.lõ.sɛl	vi1.o1.loŋ͡m1.sɛn1
virus	vi.ʁys	vi1.zut5
vis	vi	vit5
voile	vwal	vwan1
volant	vɔ.lã	vo1.lăŋ1
volt	vɔlt	von1
wagonnet	va.gɔ.nɛ	ɣɔŋ͡m1
wagonnet	va.gɔ.nɛ	ɣɔŋ͡m2
watt	vat	vat5
yaourt	jauʁ	za1.ʔuə1
zéro	ze.ʁo	ze1.zo1
